model,logs
gemini-3.5-flash_high,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/imPXZhfTfq9Q9G2kq3stdg.eval
qwen3.6-max-preview,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/dpHHf7wcvoFUgfg8bk4Keg.eval
qwen3.5-plus,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/EnixDyRH5CYkmDuKRKY6vN.eval
qwen3.6-plus,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/ZzkgVhkMeMZ9nqRATu9VR7.eval
qwen3.6-flash,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/BAbkkWea5d5grAZXGXBzVA.eval
qwen3.5-flash,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/dEVfr5pZKxmAUss8Kxauqy.eval
kimi-k2.6,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/4MWuvJB4YXGnGz27Y74cqW.eval
glm-5.1,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/AswYesr27chffop2i6XiFf.eval
gpt-5.5-pre-release_xhigh,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bCy8WkKexRgzZoX2oJbQNM.eval
gpt-5.4-mini-2026-03-17_high,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/LsjWfG6McNoCdd6yE3vSjd.eval
gpt-5.4-nano-2026-03-17_high,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/49RKnpqVsfDx6CvHF42Qqq.eval
gpt-5.4-2026-03-05_xhigh,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/RjvLecpyS4VVkJPSXhk8Ju.eval
