id,input,target
1,6k1/3R4/2N3p1/PpPp4/1P1r4/5r2/6K1/8 b - - 3 56,d4d3
2,8/p1k2pr1/Ppp1bN1b/5p2/7P/2P2RPB/P1P1P3/3K4 b - - 2 27,g7g6
3,3rk1r1/1pq5/1n3p1p/p1b4P/P1PNPPb1/3QB1P1/R4KB1/7R b - - 4 27,g8g7
4,4k3/1p1r4/1n1q3p/p1b2p1P/P1PNPPr1/3QB1P1/1R3KB1/8 w - - 0 31,b2d2
5,r1b1k1nr/ppp5/6pb/4n1Np/5p1P/PPPq4/R4PB1/1NBQK1R1 w - - 0 15,a2e2
6,7r/p2k4/2b3p1/B4nP1/2P5/PPK2P2/7p/5N1R b - - 3 33,h8h3
7,8/8/2K5/2Pn3k/P1NB4/8/6b1/8 b - - 13 75,d5e3
8,r2q1rk1/2p1ppb1/pn3np1/3p4/6bQ/NR1NPR2/PBPPB2P/6K1 w - - 1 20,b2f6
9,r2q1r2/2p3k1/pn3pp1/3pp3/3Q4/N2NP3/P1PP1R1P/1R1b2K1 w - - 0 25,d3e5
10,r1b4r/pppn2k1/4p1n1/7B/4N3/2P4P/Pq3P2/RN1QK2R b KQ - 1 19,h8h5
11,5r2/k1p1b3/p3Q3/2q1p3/p1n1P3/2PP4/5P1R/2R1K3 w - - 0 38,e6c4
12,8/2p5/p1k5/2b1p3/2K1P3/2P5/p7/7R w - - 0 57,h1a1
13,8/2p5/2k5/p1b1p3/2K1P3/2P5/p7/R7 b - - 1 58,a5a4
14,r4kr1/1pq1ppbp/8/3PPnN1/p4P2/P4B1p/3B4/1Q2K2R b K - 3 26,f5d4
15,2r1k3/1pnqbpp1/4P2r/pN6/1n2PP2/PPB2N1P/2Q5/2KR1B2 b - - 0 24,d7c6
16,r3kr2/1pp1b2p/1qp1b3/p3Q3/2P1NP2/4n3/PP2B1PP/1RB1K2R b Kq - 2 17,e7b4
17,r3kr2/1pp1b2p/1qp1b3/p3Q3/2P1NP2/4n3/PP2B2P/1RB2K1R w q - 2 19,c1e3
18,r3kr2/1pp4p/1qp1b3/p3Q3/1bP2P2/2N5/PPn1B2P/1RB2K1R b q - 7 21,e8d7
19,5rk1/7p/2q2bp1/p2pBb2/P1nP3P/N1P2P2/1P2Q2R/R3K3 b Q - 0 24,c4e5
20,rn1qk1nr/1pp1ppb1/8/p1N2p1p/2pP1P2/N5P1/PP5P/R1BQKB1R b KQq - 1 11,d8d5
21,rn1qk2r/1B2pp2/2p5/p4p1p/N1pb1Pn1/N5P1/PP5P/R1BQK2R w KQq - 0 15,a3c2
22,Bn1qk2r/4pp2/2p5/p4p1p/N1pb1Pn1/N5P1/PP5P/R1BQK2R b KQ - 0 15,d8d5
23,Bn1qk3/4pp2/2p4r/p4p1p/N1pb1Pn1/N5P1/PP5P/R1BQK2R w KQ - 1 16,d1f3
24,2b1kbnr/p1pp3p/n3pqp1/1r3p2/1P1N4/P3PQ2/1BPP1PPP/RN2K2R w KQk - 0 10,b2c3
